# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct  6 00:07:21 2021
#
# User ID:         roan.gijsen
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-106 e,Kepler-106,1,4,1.06,0.07,-0.04,0,1.07,0.14,-0.13,0
Kepler-106 e,Kepler-106,1,4,1.06,0.07,-0.04,0,1.07,0.14,-0.13,0
Kepler-106 e,Kepler-106,1,4,1.03,0.19,-0.10,0,0.94,0.07,-0.06,0
Kepler-106 e,Kepler-106,1,4,1.06,0.07,-0.04,0,1.07,0.14,-0.13,0
Kepler-106 e,Kepler-106,1,4,1.03,0.19,-0.10,0,0.94,0.07,-0.06,0
Kepler-106 e,Kepler-106,1,4,1.01,0.15,-0.10,0,0.95,0.07,-0.06,0
Kepler-106 e,Kepler-106,1,4,1.04,0.17,-0.17,0,1.00,0.06,-0.06,0
Kepler-106 e,Kepler-106,1,4,1.05,0.05,-0.04,0,,,,
Kepler-106 e,Kepler-106,1,4,1.05,0.09,-0.07,0,1.05,0.05,-0.05,0
Kepler-1060 b,Kepler-1060,1,1,0.97,0.38,-0.16,0,0.82,0.13,-0.05,0
Kepler-1060 b,Kepler-1060,1,1,1.12,,,0,1.01,,,0
Kepler-1060 b,Kepler-1060,1,1,1.12,,,0,1.01,,,0
Kepler-1060 b,Kepler-1060,1,1,0.97,0.38,-0.16,0,0.82,0.13,-0.05,0
Kepler-1060 b,Kepler-1060,1,1,0.97,0.38,-0.16,0,0.82,0.13,-0.05,0
Kepler-1060 b,Kepler-1060,1,1,0.99,0.13,-0.09,0,0.94,0.06,-0.04,0
Kepler-1060 b,Kepler-1060,1,1,1.04,0.43,-0.43,0,0.95,0.09,-0.09,0
Kepler-1060 b,Kepler-1060,1,1,1.15,0.06,-0.05,0,,,,
Kepler-1060 b,Kepler-1060,1,1,1.12,,,0,1.01,,,0
Kepler-1060 b,Kepler-1060,1,1,0.99,0.19,-0.11,0,0.99,0.08,-0.07,0
Kepler-1061 b,Kepler-1061,1,1,1.07,0.06,-0.05,0,1.09,0.04,-0.04,0
Kepler-1061 b,Kepler-1061,1,1,1.30,0.34,-0.34,0,1.18,0.10,-0.10,0
Kepler-1061 b,Kepler-1061,1,1,1.00,0.15,-0.08,0,0.99,0.06,-0.07,0
Kepler-1061 b,Kepler-1061,1,1,0.98,0.04,-0.05,0,1.16,0.15,-0.18,0
Kepler-1061 b,Kepler-1061,1,1,0.98,0.04,-0.05,0,1.16,0.15,-0.18,0
Kepler-1061 b,Kepler-1061,1,1,0.98,0.04,-0.05,0,1.16,0.15,-0.18,0
Kepler-1061 b,Kepler-1061,1,1,1.00,0.04,-0.04,0,,,,
Kepler-1061 b,Kepler-1061,1,1,1.19,0.72,-0.16,0,1.07,0.29,-0.10,0
Kepler-1061 b,Kepler-1061,1,1,1.19,0.72,-0.16,0,1.07,0.29,-0.10,0
Kepler-1061 b,Kepler-1061,1,1,1.19,0.72,-0.16,0,1.07,0.29,-0.10,0
Kepler-1062 b,Kepler-1062,1,1,0.78,,,0,0.69,,,0
Kepler-1062 b,Kepler-1062,1,1,0.78,,,0,0.69,,,0
Kepler-1062 b,Kepler-1062,1,1,0.73,0.06,-0.05,0,,,,
Kepler-1062 b,Kepler-1062,1,1,0.59,0.01,-0.01,0,0.62,0.01,-0.01,0
Kepler-1062 b,Kepler-1062,1,1,0.66,0.05,-0.06,0,0.65,0.07,-0.06,0
Kepler-1062 b,Kepler-1062,1,1,0.70,0.02,-0.03,0,0.75,0.03,-0.04,0
Kepler-1062 b,Kepler-1062,1,1,0.66,0.05,-0.06,0,0.65,0.07,-0.06,0
Kepler-1062 b,Kepler-1062,1,1,0.78,,,0,0.69,,,0
Kepler-1062 b,Kepler-1062,1,1,0.66,0.05,-0.06,0,0.65,0.07,-0.06,0
Kepler-1062 b,Kepler-1062,1,1,0.66,0.05,-0.06,0,0.65,0.07,-0.05,0
Kepler-1063 b,Kepler-1063,2,1,0.88,0.35,-0.08,0,0.91,0.09,-0.07,0
Kepler-1063 b,Kepler-1063,2,1,1.55,0.27,-0.41,0,1.09,0.11,-0.08,0
Kepler-1063 b,Kepler-1063,2,1,1.14,0.30,-0.14,0,1.09,0.11,-0.07,0
Kepler-1063 b,Kepler-1063,2,1,,,,,,,,
Kepler-1063 b,Kepler-1063,2,1,0.88,0.35,-0.08,0,0.91,0.09,-0.07,0
Kepler-1063 b,Kepler-1063,2,1,,,,,,,,
Kepler-1063 b,Kepler-1063,2,1,0.86,0.55,-0.55,0,0.87,0.13,-0.13,0
Kepler-1063 b,Kepler-1063,2,1,0.88,0.35,-0.08,0,0.91,0.09,-0.07,0
Kepler-1064 b,Kepler-1064,1,1,0.64,0.10,-0.04,0,0.69,0.08,-0.06,0
Kepler-1064 b,Kepler-1064,1,1,0.77,0.05,-0.04,0,0.81,0.04,-0.04,0
Kepler-1064 b,Kepler-1064,1,1,0.71,0.24,-0.24,0,0.81,0.04,-0.04,0
Kepler-1064 b,Kepler-1064,1,1,,,,,,,,
Kepler-1064 b,Kepler-1064,1,1,,,,,,,,
Kepler-1064 b,Kepler-1064,1,1,0.64,0.10,-0.04,0,0.69,0.08,-0.06,0
Kepler-1064 b,Kepler-1064,1,1,0.64,0.10,-0.04,0,0.69,0.08,-0.06,0
Kepler-1064 b,Kepler-1064,1,1,0.79,0.02,-0.02,0,0.85,0.03,-0.03,0
Kepler-1064 b,Kepler-1064,1,1,,,,,,,,
Kepler-1065 b,Kepler-1065,1,2,0.87,0.25,-0.08,0,0.96,0.10,-0.12,0
Kepler-1065 b,Kepler-1065,1,2,0.93,0.16,-0.09,0,0.94,0.07,-0.06,0
Kepler-1065 b,Kepler-1065,1,2,0.97,,,0,0.96,,,0
Kepler-1065 b,Kepler-1065,1,2,0.87,0.37,-0.07,0,0.96,0.10,-0.10,0
Kepler-1065 b,Kepler-1065,1,2,0.89,0.30,-0.30,0,1.01,0.30,-0.30,0
Kepler-1065 b,Kepler-1065,1,2,0.97,0.09,-0.08,0,,,,
Kepler-1065 b,Kepler-1065,1,2,0.87,0.37,-0.07,0,0.96,0.10,-0.10,0
Kepler-1065 b,Kepler-1065,1,2,0.97,,,0,0.96,,,0
Kepler-1065 b,Kepler-1065,1,2,0.87,0.37,-0.07,0,0.96,0.10,-0.10,0
Kepler-1065 b,Kepler-1065,1,2,0.97,,,0,0.96,,,0
Kepler-1065 c,Kepler-1065,1,2,0.87,0.37,-0.07,0,0.96,0.10,-0.10,0
Kepler-1065 c,Kepler-1065,1,2,0.87,0.37,-0.07,0,0.96,0.10,-0.10,0
Kepler-1065 c,Kepler-1065,1,2,0.97,0.09,-0.08,0,,,,
Kepler-1065 c,Kepler-1065,1,2,0.97,,,0,0.96,,,0
Kepler-1065 c,Kepler-1065,1,2,0.87,0.25,-0.08,0,0.96,0.10,-0.12,0
Kepler-1065 c,Kepler-1065,1,2,0.93,0.16,-0.09,0,0.94,0.07,-0.06,0
Kepler-1065 c,Kepler-1065,1,2,0.87,0.37,-0.07,0,0.96,0.10,-0.10,0
Kepler-1066 b,Kepler-1066,1,1,1.05,0.41,-0.21,0,0.82,0.14,-0.06,0
Kepler-1066 b,Kepler-1066,1,1,1.05,0.41,-0.21,0,0.82,0.14,-0.06,0
Kepler-1066 b,Kepler-1066,1,1,1.11,0.39,-0.39,0,0.89,0.10,-0.10,0
Kepler-1066 b,Kepler-1066,1,1,0.98,0.20,-0.11,0,0.98,0.11,-0.07,0
Kepler-1066 b,Kepler-1066,1,1,0.87,0.06,-0.04,0,0.98,0.15,-0.10,0
Kepler-1066 b,Kepler-1066,1,1,1.05,0.41,-0.21,0,0.82,0.14,-0.06,0
Kepler-1066 b,Kepler-1066,1,1,0.86,0.04,-0.04,0,,,,
Kepler-1066 b,Kepler-1066,1,1,0.87,0.06,-0.04,0,0.98,0.15,-0.10,0
Kepler-1066 b,Kepler-1066,1,1,0.87,0.06,-0.04,0,0.98,0.15,-0.10,0
Kepler-1066 b,Kepler-1066,1,1,0.86,0.10,-0.03,0,0.96,0.03,-0.07,0
Kepler-1067 b,Kepler-1067,1,1,0.83,0.27,-0.06,0,0.91,0.09,-0.09,0
Kepler-1067 b,Kepler-1067,1,1,0.94,,,0,0.95,,,0
Kepler-1067 b,Kepler-1067,1,1,0.94,,,0,0.95,,,0
Kepler-1067 b,Kepler-1067,1,1,0.83,0.27,-0.06,0,0.91,0.09,-0.09,0
Kepler-1067 b,Kepler-1067,1,1,0.91,0.04,-0.04,0,,,,
Kepler-1067 b,Kepler-1067,1,1,0.83,0.27,-0.06,0,0.91,0.09,-0.09,0
Kepler-1067 b,Kepler-1067,1,1,0.93,0.16,-0.06,0,0.95,0.04,-0.04,0
Kepler-1067 b,Kepler-1067,1,1,0.93,0.13,-0.05,0,0.98,0.05,-0.07,0
Kepler-1068 b,Kepler-1068,1,1,0.95,0.30,-0.30,0,1.07,0.30,-0.30,0
Kepler-1068 b,Kepler-1068,1,1,1.02,,,0,1.00,,,0
Kepler-1068 b,Kepler-1068,1,1,1.02,,,0,1.00,,,0
Kepler-1068 b,Kepler-1068,1,1,1.01,0.25,-0.10,0,1.01,0.07,-0.07,0
Kepler-1068 b,Kepler-1068,1,1,1.01,0.50,-0.09,0,1.12,0.23,-0.15,0
Kepler-1068 b,Kepler-1068,1,1,1.02,,,0,1.00,,,0
Kepler-1068 b,Kepler-1068,1,1,1.01,0.07,-0.07,0,,,,
Kepler-1068 b,Kepler-1068,1,1,1.01,0.50,-0.09,0,1.12,0.23,-0.15,0
Kepler-1068 b,Kepler-1068,1,1,0.99,0.15,-0.06,0,1.04,0.05,-0.07,0
Kepler-1068 b,Kepler-1068,1,1,1.01,0.50,-0.09,0,1.12,0.23,-0.15,0
Kepler-1069 b,Kepler-1069,1,1,1.23,0.30,-0.30,0,1.07,0.30,-0.30,0
Kepler-1069 b,Kepler-1069,1,1,1.65,0.09,-0.10,0,0.98,0.12,-0.12,0
Kepler-1069 b,Kepler-1069,1,1,1.20,0.51,-0.22,0,1.01,0.20,-0.11,0
Kepler-1069 b,Kepler-1069,1,1,1.93,0.34,-0.51,0,1.11,0.11,-0.15,0
Kepler-1069 b,Kepler-1069,1,1,1.20,0.51,-0.22,0,1.01,0.20,-0.11,0
Kepler-1069 b,Kepler-1069,1,1,1.65,0.09,-0.10,0,0.98,0.12,-0.12,0
Kepler-1069 b,Kepler-1069,1,1,1.65,0.09,-0.10,0,0.98,0.12,-0.12,0
Kepler-1069 b,Kepler-1069,1,1,1.20,0.51,-0.22,0,1.01,0.20,-0.11,0
Kepler-1069 b,Kepler-1069,1,1,1.60,0.07,-0.07,0,,,,
Kepler-1069 b,Kepler-1069,1,1,0.98,0.17,-0.08,0,0.99,0.05,-0.05,0
Kepler-107 b,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 b,Kepler-107,1,4,1.41,0.05,-0.05,0,,,,
Kepler-107 b,Kepler-107,1,4,1.46,0.06,-0.06,0,,,,
Kepler-107 b,Kepler-107,1,4,1.42,0.05,-0.05,0,1.16,0.05,-0.07,0
Kepler-107 b,Kepler-107,1,4,1.40,0.06,-0.05,0,1.11,0.09,-0.05,0
Kepler-107 b,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 b,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 b,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 b,Kepler-107,1,4,1.18,0.11,-0.11,0,1.18,0.04,-0.04,0
Kepler-107 b,Kepler-107,1,4,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0
Kepler-107 b,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 b,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 b,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 c,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 c,Kepler-107,1,4,1.42,0.05,-0.05,0,1.16,0.05,-0.07,0
Kepler-107 c,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 c,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 c,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 c,Kepler-107,1,4,1.40,0.06,-0.05,0,1.11,0.09,-0.05,0
Kepler-107 c,Kepler-107,1,4,1.46,0.06,-0.06,0,,,,
Kepler-107 c,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 c,Kepler-107,1,4,1.41,0.05,-0.05,0,,,,
Kepler-107 c,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 c,Kepler-107,1,4,1.18,0.11,-0.11,0,1.18,0.04,-0.04,0
Kepler-107 c,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 c,Kepler-107,1,4,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0
Kepler-107 d,Kepler-107,1,4,1.46,0.06,-0.06,0,,,,
Kepler-107 d,Kepler-107,1,4,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0
Kepler-107 d,Kepler-107,1,4,1.18,0.11,-0.11,0,1.18,0.04,-0.04,0
Kepler-107 d,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 d,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 d,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 d,Kepler-107,1,4,1.40,0.06,-0.05,0,1.11,0.09,-0.05,0
Kepler-107 d,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 d,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 d,Kepler-107,1,4,1.42,0.05,-0.05,0,1.16,0.05,-0.07,0
Kepler-107 d,Kepler-107,1,4,1.41,0.05,-0.05,0,,,,
Kepler-107 d,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 e,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 e,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 e,Kepler-107,1,4,1.41,0.05,-0.05,0,,,,
Kepler-107 e,Kepler-107,1,4,1.18,0.11,-0.11,0,1.18,0.04,-0.04,0
Kepler-107 e,Kepler-107,1,4,1.46,0.06,-0.06,0,,,,
Kepler-107 e,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 e,Kepler-107,1,4,1.41,0.05,-0.05,0,1.14,0.07,-0.07,0
Kepler-107 e,Kepler-107,1,4,1.40,0.06,-0.05,0,1.11,0.09,-0.05,0
Kepler-107 e,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 e,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 e,Kepler-107,1,4,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0
Kepler-107 e,Kepler-107,1,4,1.50,0.08,-0.06,0,1.04,0.15,-0.11,0
Kepler-107 e,Kepler-107,1,4,1.42,0.05,-0.05,0,1.16,0.05,-0.07,0
Kepler-1070 b,Kepler-1070,1,1,1.35,0.75,-0.26,0,1.23,0.27,-0.20,0
Kepler-1070 b,Kepler-1070,1,1,1.22,0.06,-0.05,0,,,,
Kepler-1070 b,Kepler-1070,1,1,1.22,,,0,1.17,,,0
Kepler-1070 b,Kepler-1070,1,1,1.22,,,0,1.17,,,0
Kepler-1070 b,Kepler-1070,1,1,1.35,0.75,-0.26,0,1.23,0.27,-0.20,0
Kepler-1070 b,Kepler-1070,1,1,1.22,,,0,1.17,,,0
Kepler-1070 b,Kepler-1070,1,1,1.32,0.61,-0.19,0,1.21,0.20,-0.10,0
Kepler-1070 b,Kepler-1070,1,1,1.25,0.50,-0.50,0,1.23,0.16,-0.16,0
Kepler-1070 b,Kepler-1070,1,1,1.35,0.75,-0.26,0,1.23,0.27,-0.20,0
Kepler-1070 b,Kepler-1070,1,1,1.10,0.19,-0.06,0,1.15,0.08,-0.08,0
Kepler-1071 b,Kepler-1071,1,1,0.49,0.03,-0.03,0,0.53,0.03,-0.02,0
Kepler-1071 b,Kepler-1071,1,1,0.90,0.06,-0.06,0,,,,
Kepler-1071 b,Kepler-1071,1,1,0.85,,,0,0.89,,,0
Kepler-1071 b,Kepler-1071,1,1,0.49,0.03,-0.03,0,0.53,0.03,-0.02,0
Kepler-1071 b,Kepler-1071,1,1,0.81,0.03,-0.03,0,0.86,0.03,-0.04,0
Kepler-1071 b,Kepler-1071,1,1,0.71,0.03,-0.03,0,0.81,0.02,-0.02,0
Kepler-1071 b,Kepler-1071,1,1,0.49,0.03,-0.03,0,0.53,0.03,-0.02,0
Kepler-1071 b,Kepler-1071,1,1,0.79,0.05,-0.04,0,0.81,0.05,-0.04,0
Kepler-1071 b,Kepler-1071,1,1,0.85,,,0,0.89,,,0
Kepler-1071 b,Kepler-1071,1,1,0.85,,,0,0.89,,,0
Kepler-1072 b,Kepler-1072,1,1,1.51,,,0,1.04,,,0
Kepler-1072 b,Kepler-1072,1,1,1.14,0.74,-0.12,0,1.21,0.26,-0.20,0
Kepler-1072 b,Kepler-1072,1,1,1.07,0.44,-0.44,0,1.13,0.12,-0.12,0
Kepler-1072 b,Kepler-1072,1,1,1.51,,,0,1.04,,,0
Kepler-1072 b,Kepler-1072,1,1,1.35,0.06,-0.06,0,,,,
Kepler-1072 b,Kepler-1072,1,1,1.32,0.60,-0.20,0,1.20,0.19,-0.09,0
Kepler-1072 b,Kepler-1072,1,1,1.14,0.74,-0.12,0,1.21,0.26,-0.20,0
Kepler-1072 b,Kepler-1072,1,1,1.40,0.23,-0.28,0,1.05,0.10,-0.08,0
Kepler-1072 b,Kepler-1072,1,1,1.14,0.74,-0.12,0,1.21,0.26,-0.20,0
Kepler-1073 b,Kepler-1073,1,2,1.00,0.21,-0.11,0,1.00,0.10,-0.07,0
Kepler-1073 b,Kepler-1073,1,2,0.83,0.34,-0.07,0,0.91,0.10,-0.10,0
Kepler-1073 b,Kepler-1073,1,2,0.99,,,0,1.03,,,0
Kepler-1073 b,Kepler-1073,1,2,1.00,0.05,-0.04,0,,,,
Kepler-1073 b,Kepler-1073,1,2,0.99,,,0,1.03,,,0
Kepler-1073 b,Kepler-1073,1,2,0.83,0.34,-0.07,0,0.91,0.10,-0.10,0
Kepler-1073 b,Kepler-1073,1,2,0.83,0.34,-0.07,0,0.91,0.10,-0.10,0
Kepler-1073 b,Kepler-1073,1,2,0.86,0.27,-0.27,0,0.96,0.05,-0.05,0
Kepler-1073 b,Kepler-1073,1,2,0.99,,,0,1.03,,,0
Kepler-1073 b,Kepler-1073,1,2,1.12,0.17,-0.19,0,0.92,0.06,-0.04,0
Kepler-1073 c,Kepler-1073,1,2,0.99,,,0,1.03,,,0
Kepler-1073 c,Kepler-1073,1,2,1.00,0.21,-0.11,0,1.00,0.10,-0.07,0
Kepler-1073 c,Kepler-1073,1,2,0.83,0.34,-0.07,0,0.91,0.10,-0.10,0
Kepler-1073 c,Kepler-1073,1,2,1.00,0.05,-0.04,0,,,,
Kepler-1073 c,Kepler-1073,1,2,0.83,0.34,-0.07,0,0.91,0.10,-0.10,0
Kepler-1073 c,Kepler-1073,1,2,0.99,,,0,1.03,,,0
Kepler-1073 c,Kepler-1073,1,2,0.83,0.34,-0.07,0,0.91,0.10,-0.10,0
Kepler-1073 c,Kepler-1073,1,2,1.12,0.17,-0.19,0,0.92,0.06,-0.04,0
Kepler-1074 b,Kepler-1074,1,1,0.56,0.03,-0.03,0,0.58,0.03,-0.04,0
Kepler-1074 b,Kepler-1074,1,1,0.60,0.02,-0.02,0,0.59,0.02,-0.02,0
Kepler-1074 b,Kepler-1074,1,1,0.60,0.02,-0.02,0,0.59,0.02,-0.02,0
Kepler-1074 b,Kepler-1074,1,1,0.60,0.02,-0.02,0,0.59,0.02,-0.02,0
Kepler-1074 b,Kepler-1074,1,1,0.54,0.07,-0.05,0,0.56,0.07,-0.05,0
Kepler-1074 b,Kepler-1074,1,1,0.57,0.02,-0.02,0,0.60,0.02,-0.03,0
Kepler-1074 b,Kepler-1074,1,1,0.54,0.07,-0.05,0,0.56,0.07,-0.05,0
Kepler-1074 b,Kepler-1074,1,1,0.53,0.03,-0.03,0,0.55,0.04,-0.04,0
Kepler-1074 b,Kepler-1074,1,1,0.59,0.02,-0.02,0,,,,
Kepler-1074 b,Kepler-1074,1,1,0.54,0.07,-0.05,0,0.56,0.07,-0.05,0
Kepler-1075 b,Kepler-1075,1,1,0.59,0.02,-0.02,0,0.58,0.02,-0.02,0
Kepler-1075 b,Kepler-1075,1,1,0.54,0.07,-0.05,0,0.56,0.07,-0.05,0
Kepler-1075 b,Kepler-1075,1,1,0.54,0.02,-0.03,0,0.56,0.03,-0.03,0
Kepler-1075 b,Kepler-1075,1,1,0.59,0.02,-0.02,0,,,,
Kepler-1075 b,Kepler-1075,1,1,0.51,0.03,-0.05,0,0.52,0.04,-0.04,0
Kepler-1075 b,Kepler-1075,1,1,0.54,0.07,-0.05,0,0.56,0.07,-0.05,0
Kepler-1075 b,Kepler-1075,1,1,0.54,0.07,-0.05,0,0.56,0.07,-0.05,0
Kepler-1075 b,Kepler-1075,1,1,0.52,0.01,-0.01,0,0.55,0.01,-0.01,0
Kepler-1076 b,Kepler-1076,1,1,0.75,0.05,-0.03,0,0.81,0.04,-0.05,0
Kepler-1076 b,Kepler-1076,1,1,0.73,0.05,-0.05,0,,,,
Kepler-1076 b,Kepler-1076,1,1,0.75,0.06,-0.03,0,0.81,0.04,-0.05,0
Kepler-1076 b,Kepler-1076,1,1,0.74,0.01,-0.02,0,0.79,0.03,-0.04,0
Kepler-1076 b,Kepler-1076,1,1,0.67,0.02,-0.02,0,0.69,0.02,-0.02,0
Kepler-1076 b,Kepler-1076,1,1,0.75,0.06,-0.03,0,0.81,0.04,-0.05,0
Kepler-1076 b,Kepler-1076,1,1,0.73,0.05,-0.05,0,,,,
Kepler-1076 b,Kepler-1076,1,1,0.75,0.06,-0.03,0,0.81,0.04,-0.05,0
Kepler-1077 b,Kepler-1077,1,1,1.03,,,0,1.02,,,0
Kepler-1077 b,Kepler-1077,1,1,0.97,0.42,-0.42,0,1.06,0.10,-0.10,0
Kepler-1077 b,Kepler-1077,1,1,1.02,0.23,-0.09,0,1.02,0.06,-0.05,0
Kepler-1077 b,Kepler-1077,1,1,0.97,0.40,-0.09,0,1.04,0.17,-0.14,0
Kepler-1077 b,Kepler-1077,1,1,1.03,,,0,1.02,,,0
Kepler-1077 b,Kepler-1077,1,1,0.97,0.40,-0.09,0,1.04,0.17,-0.14,0
Kepler-1077 b,Kepler-1077,1,1,0.97,0.40,-0.09,0,1.04,0.17,-0.14,0
Kepler-1077 b,Kepler-1077,1,1,0.98,0.08,-0.07,0,,,,
Kepler-1077 b,Kepler-1077,1,1,0.97,0.33,-0.10,0,1.04,0.14,-0.14,0
Kepler-1077 b,Kepler-1077,1,1,1.03,,,0,1.02,,,0
Kepler-1078 b,Kepler-1078,1,1,0.78,0.30,-0.06,0,0.85,0.10,-0.08,0
Kepler-1078 b,Kepler-1078,1,1,2.02,,,0,0.94,,,0
Kepler-1078 b,Kepler-1078,1,1,0.78,0.30,-0.06,0,0.85,0.10,-0.08,0
Kepler-1078 b,Kepler-1078,1,1,0.78,0.17,-0.06,0,0.87,0.09,-0.11,0
Kepler-1078 b,Kepler-1078,1,1,0.78,0.30,-0.06,0,0.85,0.10,-0.08,0
Kepler-1078 b,Kepler-1078,1,1,1.93,0.26,-0.22,0,,,,
Kepler-1078 b,Kepler-1078,1,1,0.92,0.12,-0.07,0,0.94,0.05,-0.05,0
Kepler-1078 b,Kepler-1078,1,1,0.85,0.27,-0.27,0,0.95,0.05,-0.05,0
Kepler-1079 b,Kepler-1079,1,1,2.54,0.88,-1.20,0,1.42,0.19,-0.39,0
Kepler-1079 b,Kepler-1079,1,1,1.39,,,0,,,,
Kepler-1079 b,Kepler-1079,1,1,1.39,0.22,-0.30,0,0.99,0.09,-0.07,0
Kepler-1079 b,Kepler-1079,1,1,1.60,0.07,-0.07,0,,,,
Kepler-1079 b,Kepler-1079,1,1,2.54,0.88,-1.20,0,1.42,0.19,-0.39,0
Kepler-1079 b,Kepler-1079,1,1,2.54,0.88,-1.20,0,1.42,0.19,-0.39,0
Kepler-1079 b,Kepler-1079,1,1,1.39,,,0,,,,
Kepler-1079 b,Kepler-1079,1,1,1.39,,,0,,,,
Kepler-1079 b,Kepler-1079,1,1,2.35,0.36,-0.36,0,1.24,0.13,-0.13,0
Kepler-1079 b,Kepler-1079,1,1,1.36,0.27,-0.23,0,1.08,0.12,-0.06,0
Kepler-108 b,Kepler-108,2,2,0.94,0.64,-0.64,0,0.89,0.17,-0.17,0
Kepler-108 b,Kepler-108,2,2,,,,,,,,
Kepler-108 b,Kepler-108,2,2,2.11,0.11,-0.12,0,1.36,0.05,-0.12,0
Kepler-108 b,Kepler-108,2,2,2.19,0.12,-0.12,0,1.38,0.09,-0.09,0
Kepler-108 b,Kepler-108,2,2,,,,,,,,
Kepler-108 b,Kepler-108,2,2,2.19,0.12,-0.12,0,1.38,0.09,-0.09,0
Kepler-108 b,Kepler-108,2,2,2.06,0.12,-0.14,0,1.25,0.08,-0.07,0
Kepler-108 b,Kepler-108,2,2,2.19,0.12,-0.12,0,1.38,0.09,-0.09,0
Kepler-108 b,Kepler-108,2,2,2.19,0.12,-0.12,0,,,,
Kepler-108 b,Kepler-108,2,2,,,,,,,,
Kepler-108 c,Kepler-108,2,2,2.19,0.12,-0.12,0,1.38,0.09,-0.09,0
Kepler-108 c,Kepler-108,2,2,,,,,,,,
Kepler-108 c,Kepler-108,2,2,2.19,0.12,-0.12,0,,,,
Kepler-108 c,Kepler-108,2,2,2.19,0.12,-0.12,0,1.38,0.09,-0.09,0
Kepler-108 c,Kepler-108,2,2,2.11,0.11,-0.12,0,1.36,0.05,-0.12,0
Kepler-108 c,Kepler-108,2,2,,,,,,,,
Kepler-108 c,Kepler-108,2,2,0.94,0.64,-0.64,0,0.89,0.17,-0.17,0
Kepler-108 c,Kepler-108,2,2,,,,,,,,
Kepler-108 c,Kepler-108,2,2,2.06,0.12,-0.14,0,1.25,0.08,-0.07,0
Kepler-108 c,Kepler-108,2,2,2.19,0.12,-0.12,0,1.38,0.09,-0.09,0
Kepler-108 c,Kepler-108,2,2,,,,,,,,
