# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 26 06:53:35 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
Kepler-1320 b,Kepler-1320,1,1,,4735.00,0.65,0.68,19h13m44.06s,288.4335977,+40d22m51.07s,40.3808519,647.4240000
Kepler-1321 b,Kepler-1321,1,2,,3640.00,0.72,,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4210.00,0.60,0.59,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4094.00,0.53,0.54,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4034.00,0.76,0.63,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,3640.00,0.50,0.51,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4034.00,0.76,0.63,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4385.00,0.71,0.74,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4034.00,0.76,0.63,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4385.00,0.71,0.74,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 b,Kepler-1321,1,2,,4385.00,0.71,0.74,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4385.00,0.71,0.74,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,3640.00,0.72,,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,3640.00,0.50,0.51,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4034.00,0.76,0.63,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4385.00,0.71,0.74,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4210.00,0.60,0.59,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4094.00,0.53,0.54,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4034.00,0.76,0.63,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4385.00,0.71,0.74,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1321 c,Kepler-1321,1,2,,4034.00,0.76,0.63,19h38m06.86s,294.5285970,+46d38m27.15s,46.6408737,769.1460000
Kepler-1322 b,Kepler-1322,1,1,,5704.00,0.80,0.90,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5425.00,1.01,0.94,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5693.00,0.80,0.88,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5488.00,0.87,0.90,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5693.00,0.80,0.88,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5693.00,0.80,0.88,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5425.00,1.01,0.94,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5698.00,0.97,,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1322 b,Kepler-1322,1,1,,5720.00,0.85,0.96,19h32m49.08s,293.2045009,+45d26m07.41s,45.4353919,1350.3200000
Kepler-1323 b,Kepler-1323,1,1,,6169.00,1.40,1.18,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6046.65,1.28,1.12,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6437.00,1.33,1.15,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6432.00,1.35,1.19,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6039.00,1.41,1.07,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6437.00,1.33,1.15,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6437.00,1.33,1.15,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6063.00,1.23,,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6046.65,1.28,1.12,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1323 b,Kepler-1323,1,1,,6046.65,1.28,1.12,19h31m29.34s,292.8722515,+46d05m55.42s,46.0987290,465.4170000
Kepler-1324 b,Kepler-1324,1,1,,4572.00,0.73,0.72,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4776.00,0.73,0.78,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4820.00,0.66,,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4722.00,0.65,0.67,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4827.00,0.82,0.80,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4572.00,0.73,0.72,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4827.00,0.82,0.80,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4827.00,0.82,0.80,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1324 b,Kepler-1324,1,1,,4827.00,0.82,0.80,19h24m44.39s,291.1849503,+40d18m40.33s,40.3112023,481.6670000
Kepler-1325 b,Kepler-1325,1,1,,5550.00,0.91,0.93,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5470.00,0.95,0.96,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5717.00,0.88,0.98,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5669.00,0.83,0.94,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5533.00,1.07,0.93,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5533.00,0.93,,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5717.00,0.88,0.98,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5470.00,0.95,0.96,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5470.00,0.95,0.96,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1325 b,Kepler-1325,1,1,,5717.00,0.88,0.98,19h00m04.12s,285.0171505,+42d05m07.12s,42.0853120,973.3680000
Kepler-1326 b,Kepler-1326,1,1,,6858.00,1.35,,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6856.00,1.41,1.31,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6858.00,1.34,1.33,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6732.00,1.34,1.43,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6732.00,1.34,1.43,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6725.00,1.74,1.45,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6856.00,1.41,1.31,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6856.00,1.41,1.31,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6864.00,2.63,1.53,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1326 b,Kepler-1326,1,1,,6732.00,1.34,1.43,19h44m53.33s,296.2221990,+39d16m08.19s,39.2689420,698.3260000
Kepler-1327 b,Kepler-1327,1,1,,6146.00,1.14,1.06,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,6143.00,1.12,1.00,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,5718.08,1.06,1.02,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,5718.08,1.06,1.02,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,5885.00,1.03,1.02,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,5718.08,1.06,1.02,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,6143.00,1.12,1.00,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,6143.00,1.12,1.00,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1327 b,Kepler-1327,1,1,,6143.00,1.12,1.00,19h16m15.55s,289.0648073,+50d27m39.31s,50.4609183,678.0690000
Kepler-1328 b,Kepler-1328,1,1,,5941.00,0.91,1.00,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5647.55,1.36,1.00,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5780.00,0.99,1.00,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5941.00,0.91,1.00,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5647.55,1.36,1.00,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5576.00,1.29,0.96,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5927.00,0.93,1.01,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5597.00,1.32,,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1328 b,Kepler-1328,1,1,,5941.00,0.91,1.00,18h58m42.09s,284.6753857,+44d25m03.80s,44.4177225,813.5430000
Kepler-1329 b,Kepler-1329,1,1,,4442.00,0.65,0.64,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4442.00,0.65,,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4469.00,0.69,0.70,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4442.00,0.65,0.64,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4469.00,0.69,0.70,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4442.00,0.65,0.64,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4442.00,0.65,0.64,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4500.00,0.69,0.72,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4445.00,0.59,0.62,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-1329 b,Kepler-1329,1,1,,4469.00,0.69,0.70,18h46m35.43s,281.6476437,+48d16m15.43s,48.2709523,588.0370000
Kepler-133 b,Kepler-133,1,2,,5736.00,1.43,,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5734.01,1.63,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5712.00,1.64,,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5588.00,1.50,1.00,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5734.01,1.63,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5600.00,1.34,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5734.01,1.63,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5588.00,1.50,1.00,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5730.00,1.32,1.04,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5611.00,1.40,0.99,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 b,Kepler-133,1,2,,5588.00,1.50,1.00,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5588.00,1.50,1.00,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5712.00,1.64,,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5611.00,1.40,0.99,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5734.01,1.63,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5734.01,1.63,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5736.00,1.43,,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5588.00,1.50,1.00,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5734.01,1.63,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5588.00,1.50,1.00,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5600.00,1.34,1.02,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-133 c,Kepler-133,1,2,,5730.00,1.32,1.04,19h49m06.69s,297.2778906,+48d19m13.28s,48.3203542,653.6000000
Kepler-1330 b,Kepler-1330,1,1,,5643.00,0.89,0.91,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5608.00,0.94,0.97,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5470.00,1.82,0.96,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5754.00,0.96,1.06,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5754.00,0.96,1.06,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5754.00,0.96,1.06,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5470.00,1.82,0.96,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5478.00,1.77,,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5470.00,1.82,0.96,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1330 b,Kepler-1330,1,1,,5480.00,1.17,0.92,19h22m18.41s,290.5767116,+39d57m24.81s,39.9568913,1720.4800000
Kepler-1331 b,Kepler-1331,1,1,,4508.00,0.69,0.72,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4258.00,0.62,0.61,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4224.00,0.66,0.66,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4224.00,0.66,0.66,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4246.00,0.55,0.58,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4248.00,0.61,,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4258.00,0.62,0.61,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4258.00,0.62,0.61,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1331 b,Kepler-1331,1,1,,4258.00,0.62,0.61,19h48m17.71s,297.0737928,+41d13m28.06s,41.2244613,319.1970000
Kepler-1332 b,Kepler-1332,1,1,,5541.94,0.93,0.97,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5581.00,0.93,,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5642.00,0.84,0.93,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5578.00,0.76,0.78,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5578.00,0.76,0.78,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5581.00,0.90,0.95,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5541.94,0.93,0.97,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5541.94,0.93,0.97,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5523.00,0.88,0.91,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1332 b,Kepler-1332,1,1,,5578.00,0.76,0.78,19h24m06.87s,291.0286411,+43d54m49.34s,43.9137055,528.6850000
Kepler-1333 b,Kepler-1333,1,1,,5488.86,0.89,0.96,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5488.86,0.89,0.96,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5649.00,0.80,0.87,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5664.00,0.83,0.94,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5319.00,0.94,,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5649.00,0.80,0.87,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5649.00,0.80,0.87,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5628.00,0.92,0.94,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5332.00,1.45,0.93,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1333 b,Kepler-1333,1,1,,5488.86,0.89,0.96,19h34m06.62s,293.5275797,+41d06m41.02s,41.1113940,932.4460000
Kepler-1334 b,Kepler-1334,1,1,,5896.00,0.92,1.01,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5896.00,0.92,1.01,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5674.00,1.07,1.01,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5896.00,0.92,1.01,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5674.00,1.07,1.01,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5614.00,0.91,0.94,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5896.00,0.92,1.01,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5866.00,0.89,1.00,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5891.00,1.05,,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1334 b,Kepler-1334,1,1,,5674.00,1.07,1.01,19h17m14.77s,289.3115320,+51d19m15.26s,51.3209059,1223.0400000
Kepler-1335 b,Kepler-1335,1,1,,5032.00,0.82,0.79,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,4830.00,0.75,0.78,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,4969.00,0.72,0.72,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,4830.00,0.75,0.78,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,4903.00,0.74,0.77,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,5032.00,0.82,0.79,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,5032.00,0.82,0.79,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,5032.00,0.82,0.79,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1335 b,Kepler-1335,1,1,,5032.00,0.73,,18h59m21.23s,284.8384394,+42d04m13.21s,42.0703371,621.8530000
Kepler-1336 b,Kepler-1336,1,2,,5449.27,1.82,0.95,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5694.00,0.84,0.95,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5717.00,0.86,0.96,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5416.00,1.76,1.00,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5449.27,1.82,0.95,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5717.00,0.86,0.96,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5499.00,1.79,,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5512.00,1.30,0.94,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
Kepler-1336 b,Kepler-1336,1,2,,5449.27,1.82,0.95,19h45m06.64s,296.2776587,+46d53m59.28s,46.8998006,1126.6400000
